GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,DemuxTestCase.WriterThread,3,47,0,2,2,12,0,3,0,2
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io,CopyUtilsTest,12,382,3,3,2,80,4,12,1,12
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,IOFileFilterAbstractTestCase.TesterTrueFileFilter,0,32,0,0,0,10,0,6,0,6
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,PackageTestSuite,25,49,0,6,3,5,2,4,2,1
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,IOFileFilterAbstractTestCase.TesterFalseFileFilter,0,32,0,0,0,10,0,6,0,6
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,FileFilterTestCase,169,2581,23,27,46,470,23,35,1,32
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,ConditionalFileFilterAbstractTestCase,2,482,1,11,0,90,1,12,0,7
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,IOFileFilterAbstractTestCase,102,176,14,14,13,26,9,14,1,8
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,OrFileFilterTestCase,22,831,2,4,2,149,3,16,1,15
"v1.3.2 (Apr 4, 2019 2:59:17 AM)/v1.3.2/src/test",org.apache.commons.io.filefilter,AndFileFilterTestCase,22,843,2,4,2,149,3,16,1,15
